dataset,extradata,global_rank,metric_name,metric_value,model,remove,task,paper_title,paper_path,paper_url
OMNIGLOT - 1-Shot Learning,,# 2,Accuracy,98.7%,MAML,-,Few-Shot Image Classification,Model-Agnostic Meta-Learning for Fast Adaptation of Deep Networks,/paper/model-agnostic-meta-learning-for-fast,https://arxiv.org/pdf/1703.03400v3.pdf
OMNIGLOT - 5-Shot Learning,,# 1,Accuracy,99.9%,MAML,-,Few-Shot Image Classification,Model-Agnostic Meta-Learning for Fast Adaptation of Deep Networks,/paper/model-agnostic-meta-learning-for-fast,https://arxiv.org/pdf/1703.03400v3.pdf
Hutter Prize,,# 6,Bit per Character (BPC),1.232,3-layer AWD-LSTM,-,Language Modelling,An Analysis of Neural Language Modeling at Multiple Scales,/paper/an-analysis-of-neural-language-modeling-at,https://arxiv.org/pdf/1803.08240v1.pdf
Hutter Prize,,# 1,Number of params,47M,3-layer AWD-LSTM,-,Language Modelling,An Analysis of Neural Language Modeling at Multiple Scales,/paper/an-analysis-of-neural-language-modeling-at,https://arxiv.org/pdf/1803.08240v1.pdf
Penn Treebank (Character Level),,# 3,Bit per Character (BPC),1.175,3-layer AWD-LSTM,-,Language Modelling,An Analysis of Neural Language Modeling at Multiple Scales,/paper/an-analysis-of-neural-language-modeling-at,https://arxiv.org/pdf/1803.08240v1.pdf
Penn Treebank (Character Level),,# 1,Number of params,13.8M,3-layer AWD-LSTM,-,Language Modelling,An Analysis of Neural Language Modeling at Multiple Scales,/paper/an-analysis-of-neural-language-modeling-at,https://arxiv.org/pdf/1803.08240v1.pdf
Penn Treebank (Character Level),,# 4,Bit per Character (BPC),1.187,6-layer QRNN,-,Language Modelling,An Analysis of Neural Language Modeling at Multiple Scales,/paper/an-analysis-of-neural-language-modeling-at,https://arxiv.org/pdf/1803.08240v1.pdf
Penn Treebank (Character Level),,# 1,Number of params,13.8M,6-layer QRNN,-,Language Modelling,An Analysis of Neural Language Modeling at Multiple Scales,/paper/an-analysis-of-neural-language-modeling-at,https://arxiv.org/pdf/1803.08240v1.pdf
WikiText-103,,# 5,Validation perplexity,32.0,4-layer QRNN,-,Language Modelling,An Analysis of Neural Language Modeling at Multiple Scales,/paper/an-analysis-of-neural-language-modeling-at,https://arxiv.org/pdf/1803.08240v1.pdf
WikiText-103,,# 7,Test perplexity,33.0,4-layer QRNN,-,Language Modelling,An Analysis of Neural Language Modeling at Multiple Scales,/paper/an-analysis-of-neural-language-modeling-at,https://arxiv.org/pdf/1803.08240v1.pdf
WikiText-103,,# 1,Number of params,151M,4-layer QRNN,-,Language Modelling,An Analysis of Neural Language Modeling at Multiple Scales,/paper/an-analysis-of-neural-language-modeling-at,https://arxiv.org/pdf/1803.08240v1.pdf
Citeseer,,# 2,Accuracy,91.40%,Variational graph auto-encoders,-,Link Prediction,Variational Graph Auto-Encoders,/paper/variational-graph-auto-encoders,https://arxiv.org/pdf/1611.07308v1.pdf
Cora,,# 2,Accuracy,92.00%,Variational graph auto-encoders,-,Link Prediction,Variational Graph Auto-Encoders,/paper/variational-graph-auto-encoders,https://arxiv.org/pdf/1611.07308v1.pdf
Pubmed,,# 1,Accuracy,96.50%,Variational graph auto-encoders,-,Link Prediction,Variational Graph Auto-Encoders,/paper/variational-graph-auto-encoders,https://arxiv.org/pdf/1611.07308v1.pdf
Citeseer,,# 6,Accuracy,69.8%,ChebNet,-,Node Classification,Convolutional Neural Networks on Graphs with Fast Localized Spectral Filtering,/paper/convolutional-neural-networks-on-graphs-with,https://arxiv.org/pdf/1606.09375v3.pdf
Cora,,# 5,Accuracy,81.2%,ChebNet,-,Node Classification,Convolutional Neural Networks on Graphs with Fast Localized Spectral Filtering,/paper/convolutional-neural-networks-on-graphs-with,https://arxiv.org/pdf/1606.09375v3.pdf
Pubmed,,# 7,Accuracy,74.4%,ChebNet,-,Node Classification,Convolutional Neural Networks on Graphs with Fast Localized Spectral Filtering,/paper/convolutional-neural-networks-on-graphs-with,https://arxiv.org/pdf/1606.09375v3.pdf
COCO,,# 1,AP 0.5,16.3,Siamese Mask R-CNN,-,One-Shot Object Detection,One-Shot Instance Segmentation,/paper/one-shot-instance-segmentation,https://arxiv.org/pdf/1811.11507v1.pdf
COCO,,# 1,AP 0.5,14.5,Siamese Mask R-CNN,-,One-Shot Instance Segmentation,One-Shot Instance Segmentation,/paper/one-shot-instance-segmentation,https://arxiv.org/pdf/1811.11507v1.pdf
PASCAL VOC 2012,,# 8,Mean IoU,83.6%,Large Kernel Matters,-,Semantic Segmentation,Large Kernel Matters -- Improve Semantic Segmentation by Global Convolutional Network,/paper/large-kernel-matters-improve-semantic,https://arxiv.org/pdf/1703.02719v1.pdf
COCO,,# 5,Bounding Box AP,46.0,Deform-v2,-,Object Detection,"Deformable ConvNets v2: More Deformable, Better Results",/paper/deformable-convnets-v2-more-deformable-better,https://arxiv.org/pdf/1811.11168v2.pdf
GTAV-to-Cityscapes Labels,,# 1,mIoU,43.2,Domain adaptation + ResNet-101,-,Synthetic-to-Real Translation,Diverse Image-to-Image Translation via Disentangled Representations,/paper/diverse-image-to-image-translation-via,https://arxiv.org/pdf/1808.00948v1.pdf
IWSLT2015 German-English,,# 15,BLEU score,20.2,Word-level LSTM w/attn,-,Machine Translation,Sequence Level Training with Recurrent Neural Networks,/paper/sequence-level-training-with-recurrent-neural,https://arxiv.org/pdf/1511.06732v7.pdf
KITTI Cars Easy,,# 7,AP,77.47%,VoxelNet,-,3D Object Detection,VoxelNet: End-to-End Learning for Point Cloud Based 3D Object Detection,/paper/voxelnet-end-to-end-learning-for-point-cloud,https://arxiv.org/pdf/1711.06396v1.pdf
KITTI Cars Easy,,# 1,AP,89.35%,VoxelNet,-,Object Localization,VoxelNet: End-to-End Learning for Point Cloud Based 3D Object Detection,/paper/voxelnet-end-to-end-learning-for-point-cloud,https://arxiv.org/pdf/1711.06396v1.pdf
KITTI Cars Hard,,# 1,AP,77.39%,VoxelNet,-,Object Localization,VoxelNet: End-to-End Learning for Point Cloud Based 3D Object Detection,/paper/voxelnet-end-to-end-learning-for-point-cloud,https://arxiv.org/pdf/1711.06396v1.pdf
KITTI Cars Hard,,# 7,AP,57.73%,VoxelNet,-,3D Object Detection,VoxelNet: End-to-End Learning for Point Cloud Based 3D Object Detection,/paper/voxelnet-end-to-end-learning-for-point-cloud,https://arxiv.org/pdf/1711.06396v1.pdf
KITTI Cars Moderate,,# 8,AP,65.11%,VoxelNet,-,3D Object Detection,VoxelNet: End-to-End Learning for Point Cloud Based 3D Object Detection,/paper/voxelnet-end-to-end-learning-for-point-cloud,https://arxiv.org/pdf/1711.06396v1.pdf
KITTI Cars Moderate,,# 2,AP,79.26%,VoxelNet,-,Object Localization,VoxelNet: End-to-End Learning for Point Cloud Based 3D Object Detection,/paper/voxelnet-end-to-end-learning-for-point-cloud,https://arxiv.org/pdf/1711.06396v1.pdf
KITTI Cyclists Easy,,# 4,AP,61.22%,VoxelNet,-,3D Object Detection,VoxelNet: End-to-End Learning for Point Cloud Based 3D Object Detection,/paper/voxelnet-end-to-end-learning-for-point-cloud,https://arxiv.org/pdf/1711.06396v1.pdf
KITTI Cyclists Easy,,# 2,AP,66.70%,VoxelNet,-,Object Localization,VoxelNet: End-to-End Learning for Point Cloud Based 3D Object Detection,/paper/voxelnet-end-to-end-learning-for-point-cloud,https://arxiv.org/pdf/1711.06396v1.pdf
KITTI Cyclists Hard,,# 4,AP,44.37%,VoxelNet,-,3D Object Detection,VoxelNet: End-to-End Learning for Point Cloud Based 3D Object Detection,/paper/voxelnet-end-to-end-learning-for-point-cloud,https://arxiv.org/pdf/1711.06396v1.pdf
KITTI Cyclists Hard,,# 2,AP,50.55%,VoxelNe,-,Object Localization,VoxelNet: End-to-End Learning for Point Cloud Based 3D Object Detection,/paper/voxelnet-end-to-end-learning-for-point-cloud,https://arxiv.org/pdf/1711.06396v1.pdf
KITTI Cyclists Moderate,,# 5,AP,48.36%,VoxelNet,-,3D Object Detection,VoxelNet: End-to-End Learning for Point Cloud Based 3D Object Detection,/paper/voxelnet-end-to-end-learning-for-point-cloud,https://arxiv.org/pdf/1711.06396v1.pdf
KITTI Cyclists Moderate,,# 2,AP,54.76%,VoxelNet,-,Object Localization,VoxelNet: End-to-End Learning for Point Cloud Based 3D Object Detection,/paper/voxelnet-end-to-end-learning-for-point-cloud,https://arxiv.org/pdf/1711.06396v1.pdf
KITTI Pedestrians Easy,,# 2,AP,46.13%,VoxelNet,-,Object Localization,VoxelNet: End-to-End Learning for Point Cloud Based 3D Object Detection,/paper/voxelnet-end-to-end-learning-for-point-cloud,https://arxiv.org/pdf/1711.06396v1.pdf
KITTI Pedestrians Easy,,# 4,AP,39.48%,VoxelNet,-,3D Object Detection,VoxelNet: End-to-End Learning for Point Cloud Based 3D Object Detection,/paper/voxelnet-end-to-end-learning-for-point-cloud,https://arxiv.org/pdf/1711.06396v1.pdf
KITTI Pedestrians Hard,,# 2,AP,38.11%,VoxelNet,-,Object Localization,VoxelNet: End-to-End Learning for Point Cloud Based 3D Object Detection,/paper/voxelnet-end-to-end-learning-for-point-cloud,https://arxiv.org/pdf/1711.06396v1.pdf
KITTI Pedestrians Hard,,# 4,AP,31.51%,VoxelNet,-,3D Object Detection,VoxelNet: End-to-End Learning for Point Cloud Based 3D Object Detection,/paper/voxelnet-end-to-end-learning-for-point-cloud,https://arxiv.org/pdf/1711.06396v1.pdf
KITTI Pedestrians Moderate,,# 2,AP,40.74%,VoxelNet,-,Object Localization,VoxelNet: End-to-End Learning for Point Cloud Based 3D Object Detection,/paper/voxelnet-end-to-end-learning-for-point-cloud,https://arxiv.org/pdf/1711.06396v1.pdf
KITTI Pedestrians Moderate,,# 5,AP,33.69%,VoxelNet,-,3D Object Detection,VoxelNet: End-to-End Learning for Point Cloud Based 3D Object Detection,/paper/voxelnet-end-to-end-learning-for-point-cloud,https://arxiv.org/pdf/1711.06396v1.pdf
Penn Treebank (Word Level),,# 3,Validation perplexity,48.33,AWD-LSTM-MoS + dynamic eval,-,Language Modelling,Breaking the Softmax Bottleneck: A High-Rank RNN Language Model,/paper/breaking-the-softmax-bottleneck-a-high-rank,https://arxiv.org/pdf/1711.03953v4.pdf
Penn Treebank (Word Level),,# 5,Test perplexity,47.69,AWD-LSTM-MoS + dynamic eval,-,Language Modelling,Breaking the Softmax Bottleneck: A High-Rank RNN Language Model,/paper/breaking-the-softmax-bottleneck-a-high-rank,https://arxiv.org/pdf/1711.03953v4.pdf
Penn Treebank (Word Level),,# 1,Params,22M,AWD-LSTM-MoS + dynamic eval,-,Language Modelling,Breaking the Softmax Bottleneck: A High-Rank RNN Language Model,/paper/breaking-the-softmax-bottleneck-a-high-rank,https://arxiv.org/pdf/1711.03953v4.pdf
Penn Treebank (Word Level),,# 10,Validation perplexity,56.54,AWD-LSTM-MoS,-,Language Modelling,Breaking the Softmax Bottleneck: A High-Rank RNN Language Model,/paper/breaking-the-softmax-bottleneck-a-high-rank,https://arxiv.org/pdf/1711.03953v4.pdf
Penn Treebank (Word Level),,# 12,Test perplexity,54.44,AWD-LSTM-MoS,-,Language Modelling,Breaking the Softmax Bottleneck: A High-Rank RNN Language Model,/paper/breaking-the-softmax-bottleneck-a-high-rank,https://arxiv.org/pdf/1711.03953v4.pdf
Penn Treebank (Word Level),,# 1,Params,22M,AWD-LSTM-MoS,-,Language Modelling,Breaking the Softmax Bottleneck: A High-Rank RNN Language Model,/paper/breaking-the-softmax-bottleneck-a-high-rank,https://arxiv.org/pdf/1711.03953v4.pdf
WikiText-2,,# 3,Validation perplexity,42.41,AWD-LSTM-MoS + dynamic eval,-,Language Modelling,Breaking the Softmax Bottleneck: A High-Rank RNN Language Model,/paper/breaking-the-softmax-bottleneck-a-high-rank,https://arxiv.org/pdf/1711.03953v4.pdf
WikiText-2,,# 4,Test perplexity,40.68,AWD-LSTM-MoS + dynamic eval,-,Language Modelling,Breaking the Softmax Bottleneck: A High-Rank RNN Language Model,/paper/breaking-the-softmax-bottleneck-a-high-rank,https://arxiv.org/pdf/1711.03953v4.pdf
WikiText-2,,# 1,Number of params,35M,AWD-LSTM-MoS + dynamic eval,-,Language Modelling,Breaking the Softmax Bottleneck: A High-Rank RNN Language Model,/paper/breaking-the-softmax-bottleneck-a-high-rank,https://arxiv.org/pdf/1711.03953v4.pdf
WikiText-2,,# 10,Validation perplexity,63.88,AWD-LSTM-MoS,-,Language Modelling,Breaking the Softmax Bottleneck: A High-Rank RNN Language Model,/paper/breaking-the-softmax-bottleneck-a-high-rank,https://arxiv.org/pdf/1711.03953v4.pdf
WikiText-2,,# 11,Test perplexity,61.45,AWD-LSTM-MoS,-,Language Modelling,Breaking the Softmax Bottleneck: A High-Rank RNN Language Model,/paper/breaking-the-softmax-bottleneck-a-high-rank,https://arxiv.org/pdf/1711.03953v4.pdf
WikiText-2,,# 1,Number of params,35M,AWD-LSTM-MoS,-,Language Modelling,Breaking the Softmax Bottleneck: A High-Rank RNN Language Model,/paper/breaking-the-softmax-bottleneck-a-high-rank,https://arxiv.org/pdf/1711.03953v4.pdf
Set14 - 4x upscaling,,# 27,PSNR,27.68,TNRD,-,Image Super-Resolution,Trainable Nonlinear Reaction Diffusion: A Flexible Framework for Fast and Effective Image Restoration,/paper/trainable-nonlinear-reaction-diffusion-a,https://arxiv.org/pdf/1508.02848v2.pdf
Set5 - 4x upscaling,,# 24,PSNR,30.85,TNRD,-,Image Super-Resolution,Trainable Nonlinear Reaction Diffusion: A Flexible Framework for Fast and Effective Image Restoration,/paper/trainable-nonlinear-reaction-diffusion-a,https://arxiv.org/pdf/1508.02848v2.pdf
Cityscapes,,# 9,Mean IoU,75.5%,SwiftNetRN-18,-,Semantic Segmentation,In Defense of Pre-trained ImageNet Architectures for Real-time Semantic Segmentation of Road-driving Images,/paper/in-defense-of-pre-trained-imagenet,https://arxiv.org/pdf/1903.08469v2.pdf
Cityscapes,,# 2,mIoU,75.5%,SwiftNetRN-18,-,Real-Time Semantic Segmentation,In Defense of Pre-trained ImageNet Architectures for Real-time Semantic Segmentation of Road-driving Images,/paper/in-defense-of-pre-trained-imagenet,https://arxiv.org/pdf/1903.08469v2.pdf
Cityscapes,,# 3,Frame (fps),39.9,SwiftNetRN-18,-,Real-Time Semantic Segmentation,In Defense of Pre-trained ImageNet Architectures for Real-time Semantic Segmentation of Road-driving Images,/paper/in-defense-of-pre-trained-imagenet,https://arxiv.org/pdf/1903.08469v2.pdf
MR,,# 1,Accuracy,84.5,MEAN,-,Sentiment Analysis,A Multi-sentiment-resource Enhanced Attention Network for Sentiment Classification,/paper/a-multi-sentiment-resource-enhanced-attention,https://arxiv.org/pdf/1807.04990v1.pdf
SST-5 Fine-grained classification,,# 7,Accuracy,51.4,MEAN,-,Sentiment Analysis,A Multi-sentiment-resource Enhanced Attention Network for Sentiment Classification,/paper/a-multi-sentiment-resource-enhanced-attention,https://arxiv.org/pdf/1807.04990v1.pdf
ICVL Hands,,# 3,Average 3D Error,7.3,Dense Pixel-wise Estimation,-,Hand Pose Estimation,Dense 3D Regression for Hand Pose Estimation,/paper/dense-3d-regression-for-hand-pose-estimation,https://arxiv.org/pdf/1711.08996v1.pdf
MSRA Hands,,# 1,Average 3D Error,7.2,Dense Pixel-wise Estimation,-,Hand Pose Estimation,Dense 3D Regression for Hand Pose Estimation,/paper/dense-3d-regression-for-hand-pose-estimation,https://arxiv.org/pdf/1711.08996v1.pdf
NYU Hands,,# 2,Average 3D Error,10.2,Dense Pixel-wise Estimation,-,Hand Pose Estimation,Dense 3D Regression for Hand Pose Estimation,/paper/dense-3d-regression-for-hand-pose-estimation,https://arxiv.org/pdf/1711.08996v1.pdf
LineMOD,,# 4,Accuracy,83.9%,BB8,-,6D Pose Estimation,"BB8: A Scalable, Accurate, Robust to Partial Occlusion Method for Predicting the 3D Poses of Challenging Objects without Using Depth",/paper/bb8-a-scalable-accurate-robust-to-partial,https://arxiv.org/pdf/1703.10896v2.pdf
MHP v1.0,,# 3,AP 0.5,50.10%,MH-Parser,-,Multi-Human Parsing,Multiple-Human Parsing in the Wild,/paper/multiple-human-parsing-in-the-wild,https://arxiv.org/pdf/1705.07206v2.pdf
MHP v2.0,,# 2,AP 0.5,17.99%,MH-Parser,-,Multi-Human Parsing,Multiple-Human Parsing in the Wild,/paper/multiple-human-parsing-in-the-wild,https://arxiv.org/pdf/1705.07206v2.pdf
SCUT-CTW1500,,# 3,F-Measure,73.4%,CTD+TLOC,-,Curved Text Detection,Detecting Curve Text in the Wild: New Dataset and New Solution,/paper/detecting-curve-text-in-the-wild-new-dataset,https://arxiv.org/pdf/1712.02170v1.pdf
WikiText-103,,# 4,Validation perplexity,29.0,LSTM + Hebbian + Cache + MbPA,-,Language Modelling,Fast Parametric Learning with Activation Memorization,/paper/fast-parametric-learning-with-activation,https://arxiv.org/pdf/1803.10049v1.pdf
WikiText-103,,# 6,Test perplexity,29.2,LSTM + Hebbian + Cache + MbPA,-,Language Modelling,Fast Parametric Learning with Activation Memorization,/paper/fast-parametric-learning-with-activation,https://arxiv.org/pdf/1803.10049v1.pdf
WikiText-103,,# 6,Validation perplexity,34.1,LSTM + Hebbian,-,Language Modelling,Fast Parametric Learning with Activation Memorization,/paper/fast-parametric-learning-with-activation,https://arxiv.org/pdf/1803.10049v1.pdf
WikiText-103,,# 8,Test perplexity,34.3,LSTM + Hebbian,-,Language Modelling,Fast Parametric Learning with Activation Memorization,/paper/fast-parametric-learning-with-activation,https://arxiv.org/pdf/1803.10049v1.pdf
WikiText-103,,# 7,Validation perplexity,36.0,LSTM,-,Language Modelling,Fast Parametric Learning with Activation Memorization,/paper/fast-parametric-learning-with-activation,https://arxiv.org/pdf/1803.10049v1.pdf
WikiText-103,,# 9,Test perplexity,36.4,LSTM,-,Language Modelling,Fast Parametric Learning with Activation Memorization,/paper/fast-parametric-learning-with-activation,https://arxiv.org/pdf/1803.10049v1.pdf
Sentihood,,# 3,Aspect,78.5,Liu et al.,-,Aspect-Based Sentiment Analysis,Recurrent Entity Networks with Delayed Memory Update for Targeted Aspect-Based Sentiment Analysis,/paper/recurrent-entity-networks-with-delayed-memory-1,https://aclweb.org/anthology/N18-2045
Sentihood,,# 3,Sentiment,91.0,Liu et al.,-,Aspect-Based Sentiment Analysis,Recurrent Entity Networks with Delayed Memory Update for Targeted Aspect-Based Sentiment Analysis,/paper/recurrent-entity-networks-with-delayed-memory-1,https://aclweb.org/anthology/N18-2045
CIFAR-10,,# 7,FID,28.73,MSGAN,-,Image Generation,Mode Seeking Generative Adversarial Networks for Diverse Image Synthesis,/paper/mode-seeking-generative-adversarial-networks,https://arxiv.org/pdf/1903.05628v5.pdf
ModelNet40,,# 2,Accuracy,88.4%,FPNN (4-FCs + NF),-,3D Object Recognition,FPNN: Field Probing Neural Networks for 3D Data,/paper/fpnn-field-probing-neural-networks-for-3d,https://arxiv.org/pdf/1605.06240v3.pdf
BSD100 - 4x upscaling,,# 12,PSNR,27.49,SRMDNF,-,Image Super-Resolution,Learning a Single Convolutional Super-Resolution Network for Multiple Degradations,/paper/learning-a-single-convolutional-super,https://arxiv.org/pdf/1712.06116v2.pdf
BSD100 - 4x upscaling,,# 16,SSIM,0.7340000000000001,SRMDNF,-,Image Super-Resolution,Learning a Single Convolutional Super-Resolution Network for Multiple Degradations,/paper/learning-a-single-convolutional-super,https://arxiv.org/pdf/1712.06116v2.pdf
Set14 - 4x upscaling,,# 15,PSNR,28.35,SRMDNF,-,Image Super-Resolution,Learning a Single Convolutional Super-Resolution Network for Multiple Degradations,/paper/learning-a-single-convolutional-super,https://arxiv.org/pdf/1712.06116v2.pdf
Set14 - 4x upscaling,,# 18,SSIM,0.777,SRMDNF,-,Image Super-Resolution,Learning a Single Convolutional Super-Resolution Network for Multiple Degradations,/paper/learning-a-single-convolutional-super,https://arxiv.org/pdf/1712.06116v2.pdf
Set5 - 4x upscaling,,# 11,PSNR,31.96,SRMDNF,-,Image Super-Resolution,Learning a Single Convolutional Super-Resolution Network for Multiple Degradations,/paper/learning-a-single-convolutional-super,https://arxiv.org/pdf/1712.06116v2.pdf
Set5 - 4x upscaling,,# 14,SSIM,0.893,SRMDNF,-,Image Super-Resolution,Learning a Single Convolutional Super-Resolution Network for Multiple Degradations,/paper/learning-a-single-convolutional-super,https://arxiv.org/pdf/1712.06116v2.pdf
Urban100 - 4x upscaling,,# 13,PSNR,25.68,SRMDNF,-,Image Super-Resolution,Learning a Single Convolutional Super-Resolution Network for Multiple Degradations,/paper/learning-a-single-convolutional-super,https://arxiv.org/pdf/1712.06116v2.pdf
Urban100 - 4x upscaling,,# 12,SSIM,0.773,SRMDNF,-,Image Super-Resolution,Learning a Single Convolutional Super-Resolution Network for Multiple Degradations,/paper/learning-a-single-convolutional-super,https://arxiv.org/pdf/1712.06116v2.pdf
SemEval 2014 Task 4 Sub Task 2,,# 16,Restaurant (Acc),80.23,RAM,-,Aspect-Based Sentiment Analysis,Recurrent Attention Network on Memory for Aspect Sentiment Analysis,/paper/recurrent-attention-network-on-memory-for,https://aclweb.org/anthology/D17-1047
SemEval 2014 Task 4 Sub Task 2,,# 14,Laptop (Acc),74.49,RAM,-,Aspect-Based Sentiment Analysis,Recurrent Attention Network on Memory for Aspect Sentiment Analysis,/paper/recurrent-attention-network-on-memory-for,https://aclweb.org/anthology/D17-1047
Set14 - 4x upscaling,,# 2,PSNR,28.98,PFF,-,Image Super-Resolution,Image Reconstruction with Predictive Filter Flow,/paper/image-reconstruction-with-predictive-filter,https://arxiv.org/pdf/1811.11482v1.pdf
Set14 - 4x upscaling,,# 5,SSIM,0.7904,PFF,-,Image Super-Resolution,Image Reconstruction with Predictive Filter Flow,/paper/image-reconstruction-with-predictive-filter,https://arxiv.org/pdf/1811.11482v1.pdf
Set5 - 4x upscaling,,# 1,PSNR,32.74,PFF,-,Image Super-Resolution,Image Reconstruction with Predictive Filter Flow,/paper/image-reconstruction-with-predictive-filter,https://arxiv.org/pdf/1811.11482v1.pdf
Set5 - 4x upscaling,,# 1,SSIM,0.9021,PFF,-,Image Super-Resolution,Image Reconstruction with Predictive Filter Flow,/paper/image-reconstruction-with-predictive-filter,https://arxiv.org/pdf/1811.11482v1.pdf
FB15k,,# 3,MRR,0.79,HypER,-,Link Prediction,Hypernetwork Knowledge Graph Embeddings,/paper/hypernetwork-knowledge-graph-embeddings,https://arxiv.org/pdf/1808.07018v3.pdf
FB15k,,# 3,[emailÂ protected],0.885,HypER,-,Link Prediction,Hypernetwork Knowledge Graph Embeddings,/paper/hypernetwork-knowledge-graph-embeddings,https://arxiv.org/pdf/1808.07018v3.pdf
FB15k,,# 2,[emailÂ protected],0.8290000000000001,HypER,-,Link Prediction,Hypernetwork Knowledge Graph Embeddings,/paper/hypernetwork-knowledge-graph-embeddings,https://arxiv.org/pdf/1808.07018v3.pdf
FB15k,,# 2,[emailÂ protected],0.7340000000000001,HypER,-,Link Prediction,Hypernetwork Knowledge Graph Embeddings,/paper/hypernetwork-knowledge-graph-embeddings,https://arxiv.org/pdf/1808.07018v3.pdf
FB15k-237,,# 3,MRR,0.341,HypER,-,Link Prediction,Hypernetwork Knowledge Graph Embeddings,/paper/hypernetwork-knowledge-graph-embeddings,https://arxiv.org/pdf/1808.07018v3.pdf
FB15k-237,,# 3,[emailÂ protected],0.52,HypER,-,Link Prediction,Hypernetwork Knowledge Graph Embeddings,/paper/hypernetwork-knowledge-graph-embeddings,https://arxiv.org/pdf/1808.07018v3.pdf
FB15k-237,,# 2,[emailÂ protected],0.376,HypER,-,Link Prediction,Hypernetwork Knowledge Graph Embeddings,/paper/hypernetwork-knowledge-graph-embeddings,https://arxiv.org/pdf/1808.07018v3.pdf
FB15k-237,,# 2,[emailÂ protected],0.252,HypER,-,Link Prediction,Hypernetwork Knowledge Graph Embeddings,/paper/hypernetwork-knowledge-graph-embeddings,https://arxiv.org/pdf/1808.07018v3.pdf
WN18,,# 3,MRR,0.951,HypER,-,Link Prediction,Hypernetwork Knowledge Graph Embeddings,/paper/hypernetwork-knowledge-graph-embeddings,https://arxiv.org/pdf/1808.07018v3.pdf
WN18,,# 3,[emailÂ protected],0.958,HypER,-,Link Prediction,Hypernetwork Knowledge Graph Embeddings,/paper/hypernetwork-knowledge-graph-embeddings,https://arxiv.org/pdf/1808.07018v3.pdf
WN18,,# 2,[emailÂ protected],0.955,HypER,-,Link Prediction,Hypernetwork Knowledge Graph Embeddings,/paper/hypernetwork-knowledge-graph-embeddings,https://arxiv.org/pdf/1808.07018v3.pdf
WN18,,# 3,[emailÂ protected],0.9470000000000001,HypER,-,Link Prediction,Hypernetwork Knowledge Graph Embeddings,/paper/hypernetwork-knowledge-graph-embeddings,https://arxiv.org/pdf/1808.07018v3.pdf
WN18RR,,# 4,MRR,0.465,HypER,-,Link Prediction,Hypernetwork Knowledge Graph Embeddings,/paper/hypernetwork-knowledge-graph-embeddings,https://arxiv.org/pdf/1808.07018v3.pdf
WN18RR,,# 4,[emailÂ protected],0.522,HypER,-,Link Prediction,Hypernetwork Knowledge Graph Embeddings,/paper/hypernetwork-knowledge-graph-embeddings,https://arxiv.org/pdf/1808.07018v3.pdf
WN18RR,,# 2,[emailÂ protected],0.47700000000000004,HypER,-,Link Prediction,Hypernetwork Knowledge Graph Embeddings,/paper/hypernetwork-knowledge-graph-embeddings,https://arxiv.org/pdf/1808.07018v3.pdf
WN18RR,,# 3,[emailÂ protected],0.436,HypER,-,Link Prediction,Hypernetwork Knowledge Graph Embeddings,/paper/hypernetwork-knowledge-graph-embeddings,https://arxiv.org/pdf/1808.07018v3.pdf
COCO,,# 17,Bounding Box AP,42.3,ResNet-101 + Group Normalization,-,Object Detection,Group Normalization,/paper/group-normalization,https://arxiv.org/pdf/1803.08494v3.pdf
BSD68 sigma15,,# 4,PSNR,31.63,Deep CNN Denoiser,-,Image Denoising,Learning Deep CNN Denoiser Prior for Image Restoration,/paper/learning-deep-cnn-denoiser-prior-for-image,https://arxiv.org/pdf/1704.03264v1.pdf
BSD68 sigma25,,# 5,PSNR,29.15,Deep CNN Denoiser,-,Image Denoising,Learning Deep CNN Denoiser Prior for Image Restoration,/paper/learning-deep-cnn-denoiser-prior-for-image,https://arxiv.org/pdf/1704.03264v1.pdf
BSD68 sigma50,,# 7,PSNR,26.19,Deep CNN Denoiser,-,Image Denoising,Learning Deep CNN Denoiser Prior for Image Restoration,/paper/learning-deep-cnn-denoiser-prior-for-image,https://arxiv.org/pdf/1704.03264v1.pdf
COCO,,# 22,Bounding Box AP,40.8,RetinaNet,-,Object Detection,Focal Loss for Dense Object Detection,/paper/focal-loss-for-dense-object-detection,https://arxiv.org/pdf/1708.02002v2.pdf
SUBJ,,# 2,Accuracy,94.8,CNN+MCFA,-,Subjectivity Analysis,Translations as Additional Contexts for Sentence Classification,/paper/translations-as-additional-contexts-for,https://arxiv.org/pdf/1806.05516v1.pdf
TREC-6,,# 4,Error,4.0,CNN+MCFA,-,Text Classification,Translations as Additional Contexts for Sentence Classification,/paper/translations-as-additional-contexts-for,https://arxiv.org/pdf/1806.05516v1.pdf
NarrativeQA,,# 6,BLEU-1,54.60/55.55,Oracle IR Models,-,Question Answering,The NarrativeQA Reading Comprehension Challenge,/paper/the-narrativeqa-reading-comprehension,https://arxiv.org/pdf/1712.07040v1.pdf
NarrativeQA,,# 6,BLEU-4,26.71/27.78,Oracle IR Models,-,Question Answering,The NarrativeQA Reading Comprehension Challenge,/paper/the-narrativeqa-reading-comprehension,https://arxiv.org/pdf/1712.07040v1.pdf
